"Date","BAJAJ-AUTO.NS","EICHERMOT.NS","HEROMOTOCO.NS","M&M.NS","GRASIM.NS","ULTRACEMCO.NS","ASIANPAINT.NS","BRITANNIA.NS","HINDUNILVR.NS","TITAN.NS","BPCL.NS","NTPC.NS","ONGC.NS","POWERGRID.NS","AXISBANK.NS","HDFCBANK.NS","ICICIBANK.NS","INDUSINDBK.NS","HCLTECH.NS","INFY.NS","TCS.NS","TECHM.NS","COALINDIA.NS","HINDALCO.NS","JSWSTEEL.NS","VEDL.NS"
"2017-05-24","2654.868164","27161.695313","3343.049316","636.795959","841.630676","4150.809082","1075.7264400000001","1719.484863","1008.7471310000001","464.919037","435.443329","119.835396","159.79853799999998","185.778809","494.442047","1546.530273","270.061371","1397.309326","840.7451779999999","431.06091299999997","1213.848145","398.471008","234.049973","185.236572","183.63116499999998","206.287567"
"2017-05-25","2711.052246","27801.611327999995","3397.632813","645.9685059999999","841.209106","4141.059082","1097.414673","1711.941772","1013.994507","459.66738899999996","444.588013","119.75911699999999","160.212555","184.89592","502.512787","1596.279785","279.747284","1444.756226","845.4168699999999","443.927734","1244.897095","406.924744","237.358414","188.702637","186.77883899999998","214.303207"
"2017-05-26","2702.696777","28140.976563","3390.6518549999996","652.4647219999999","850.4856570000001","4133.099609000001","1116.391602","1662.332642","1011.5651859999999","469.13024900000005","458.53393600000004","119.490707","161.684464","187.916351","506.473846","1605.0155029999999","283.13736","1460.670532","844.9250490000001","449.52594000000005","1222.907593","409.933716","239.86207599999997","196.476517","192.589966","223.56265299999998"
"2017-05-29","2725.602539","27963.105469","3435.0683590000003","661.807495","847.763977","4040.477295","1130.291626","1663.5686039999998","1041.981689","466.355774","461.713959","119.874001","161.684464","194.328918","502.31469699999997","1610.8394779999999","277.28225699999996","1473.520752","850.1868900000001","444.76297","1220.355835","362.459167","239.012619","199.298889","189.63597099999998","224.990723"
"2017-05-30","2738.52002","28113.283202999995","3504.9257810000004","662.3184200000001","868.193726","4061.170654","1143.008667","1666.9946289999998","1042.3217769999999","465.51355","451.866516","123.51201599999999","164.35238600000002","189.682144","509.395172","1608.026245","283.005646","1456.86499","853.825867","449.751678","1210.034668","370.912842","239.370316","201.180466","188.861145","225.63566600000001"
"2017-05-31","2733.285645","28224.054688","3509.705078","689.4953","885.4810789999999","4173.690918","1134.875732","1719.163574","1036.879883","470.56701699999996","454.251984","122.70776399999998","162.834442","193.260147","509.04852300000005","1615.083862","287.452454","1463.636108","849.990173","441.10604900000004","1207.900269","372.536743","234.76527400000003","198.75422700000001","187.74736000000001","219.87728900000002"
"2017-06-01","2726.947266","28579.794922000005","3498.366699","693.53418","876.0906369999999","4176.824707","1143.994507","1754.815674","1064.4295650000001","466.405365","452.019684","123.05246000000001","160.074539","192.981339","504.344757","1607.5820310000001","281.860748","1468.479492","848.023132","452.208801","1211.220581","379.891968","237.268982","195.337692","189.296982","213.059402"
"2017-06-02","2739.912842","28963.626952999995","3607.440186","690.249573","889.927795","4218.858397999999","1147.789917","1747.856689","1055.732422","467.44577000000004","443.333801","124.546074","160.074539","191.540848","503.10690300000005","1613.159058","280.143433","1497.095947","843.7449949999999","451.301025","1216.580078","381.706879","240.35386699999998","195.13961799999998","188.61901899999998","210.84819"
"2017-06-05","2783.65918","29107.947266000003","3593.571533","692.779907","885.7879029999999","4156.728027","1145.079102","1773.016479","1066.761841","546.81488","445.627533","124.546074","161.684464","190.797379","508.652466","1614.442383","281.552795","1487.903198","844.531799","446.31991600000003","1235.0977779999998","384.71582","236.55365","195.189133","184.50280800000002","211.354919"
"2017-06-06","2759.793213","28974.642577999995","3560.77417","686.81897","870.6085820000001","4101.36377","1136.798096","1765.2592769999999","1060.736938","522.340271","443.79254199999997","121.099236","157.728622","189.078033","505.23602300000005","1617.798462","280.848602","1493.586914","874.7743529999999","455.90966799999995","1278.76355","390.351624","234.54174799999998","193.55513","186.052475","211.354919"
